clause_text,clause_type,domain
"Skype further agrees that in the event that, prior to such time as the Company-Skype Branded Application is updated or upgraded to include the Mobile Technology, Skype or any of its Affiliates makes available to Skype users a new software product which allows access to services available through the Skype Software but on or through mobile communication devices (but in any event excluding Skype Zones), it will license that software product to the Company and Online BVI on the terms and conditions set forth in this Agreement with respect to the Skype Software and the Company-Skype Branded Application customized therefrom, and references to the Skype Software in this Agreement shall be deemed to include such software product.",License Grant,Original Corporate
"Any dispute or difference arising out of this agreement shall be referred to sole arbitration in Kolkata under the Arbitration and Conciliation Act, 1996.",Arbitration & Dispute Resolution,General
The Seller warrants that the goods will be free from material defects for a period of 12 months from delivery.,Warranty Duration,Service
The total liability of the Company under this agreement shall be limited to the fees actually paid during the preceding 6 months.,Limitation of Liability,General
"Following the Initial Term, either Party may terminate this Agreement without cause upon written notice to the other Party of at least 3 months.",Notice Period / Termination,Original Corporate
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
All equipment supplied is covered by a manufacturer warranty of one year against manufacturing defects.,Warranty Duration,Service
"Integrity will hold exclusive                   worldwide rights to promote and sell the product to/through                   the following distribution channels: Christian retail (CBA or                   Christian Booksellers Association markets), direct mail                   (including continuity sales, church sales, digital and                   e-commerce sales.)",Exclusivity,Original Corporate
"This Agreement shall commence on the Effective Date and, unless sooner terminated in accordance with its terms, including by Ginkgo pursuant to Section 7.3 (Buy-Down Election) or extended by the mutual written agreement of the Parties, shall continue until the Intended End of Term (such time period, as may be extended pursuant to this Section 13.3.1 (Term - General), the ""Term""); provided that, if,",Notice Period / Termination,Original Corporate
"The Landlord shall be responsible for major structural repairs, while routine maintenance shall be borne by the Tenant.",Maintenance & Utilities,Rental
"Upon the termination of this Agreement, Aimmune will promptly, in each case within [***] ([***]) days thereafter:

(a) assign to Xencor, [***], all of Aimmune's right, title and interest in and to any agreements (or portions thereof) between Aimmune and Third Parties that relate to the Development, Commercialization or Manufacture of the Product, where such assignment is permitted without charge to Aimmune or its Affiliates and where Xencor shall assume all future payments due under any agreement assigned pursuant to this subsection;

(b) assign to Xencor, [***], and subject to the execution of a standard trademark license between the Parties prior to such assignment, all of Aimmune's right, title and interest in and to any (i) Promotional Materials, (ii) copyrights and trademarks (including the Product Trademarks and Product Trade Dress), including any goodwill associated therewith, and any registrations and design patents for the foregoing, and (iii) any internet domain name registrations for such trademarks and slogans, all to the extent solely related to the Product; provided, however, in the event Xencor exercises such right to have assigned such Promotional Materials, Aimmune shall grant, and hereby does grant, a royalty-free right and license to any housemarks, trademarks, names and logos of Aimmune contained therein for a period of [***] ([***]) months in order to use such Promotional Materials solely in connection with the Commercialization of the Product;

(c) assign to Xencor, [***], the management and continued performance of any Clinical Trials for the Product ongoing hereunder as of the effective date of such termination in respect of which Xencor shall assume full financial responsibility from and after the effective date of such termination;

(d) transfer to Xencor all of Aimmune's right, title and interest in and to any and all regulatory filings, Regulatory Approvals and other Regulatory Materials for the Product;",Intellectual Property,Original Corporate
"The Employee shall be on probation for a period of 3 months, extendable at the discretion of the Company.",Notice Period / Termination,Employment
"For clarity, ENERGOUS shall not intentionally supply Products, Product Die or comparable products or product die to customers directly or through distribution channels.",Non-Compete,Original Corporate
The parties shall present this document for registration before the Sub-Registrar of Kolkata within 60 days.,Stamp Duty & Registration,Property
"Surgical agrees that, at the request of Imprimis, Surgical will execute all such documents and perform all such acts as Imprimis or its duly authorized agents may reasonably require: (a) to effect the assignment of Work Product as agreed above; (b) to apply for, obtain, and vest in the name of Imprimis alone patents, patent applications, copyrights or other intellectual property rights in any country and (c) at Imprimis' expense, to assist Imprimis in prosecuting any such rights.",Intellectual Property,Original Corporate
