clause_text,risk_level,domain,clause_type,is_synthetic
"If DIALOG provides such a notice, for a period of [***] following ENERGOUS' receipt of such notice, ENERGOUS and DIALOG will negotiate in good faith the terms pursuant to which such New Product will be added as a Product to this Agreement.",medium,Original Corporate,Rofr/Rofo/Rofn,False
"In particular, Licensee commits to:",medium,Original Corporate,Minimum Commitment,False
"Subject to Section 12.2, neither party shall assign its rights or obligations hereunder, in whole or in part, except with the prior written consent of the other party, except to a party acquiring all of the business of the assigning party to which this Agreement relates.",high,Original Corporate,Anti-Assignment,False
COLLABORATION & ENDORSEMENT AGREEMENT,low,Original Corporate,Document Name,False
"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",low,Original Corporate,Document Name,False
"In the event of the death or incapacity of an individual franchisee, or any partner or shareholder of you which is a partnership or corporation, where the aforesaid provisions of Paragraph XVIII have not been fulfilled within the time provided, all rights licensed to you under this Agreement shall, at our option, terminate forthwith and we will have the option to purchase the assets of the Franchised Restaurant in accordance with Paragraph XVII.K. herein.",high,Original Corporate,Rofr/Rofo/Rofn,False
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
This Agreement and the performance of transactions under this Agreement       shall be governed by the substantive laws of the state of New York.,low,Original Corporate,Governing Law,False
"At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the",low,Original Corporate,Renewal Term,False
"Pretzel  Time  will not,  as long as this  Agreement  is in effect  and Franchisee  is not in default,  enfranchise  or operate any other  Pretzel  Time Franchise  within the following  enclosed  mall or building  except as otherwise provided herein (hereinafter  referred to as ""Territory""):  none.",high,Original Corporate,Non-Compete,False
"The Receiving Party shall keep the confidential information secret in perpetuity, and any breach shall result in automatic liquidated damages of INR 50 Lakhs.",high,NDA,Confidentiality,True
"The Tenant shall pay a refundable security deposit of INR 82,000. Deductions may be made for painting, general wear and tear, and cleaning at the sole discretion of the Landlord.",medium,Rental,Security Deposit,True
"During the Term, VerticalNet shall have the exclusive right to arrange for the sale of ***** of the third party advertising inventory (which shall consist of a minimum of one advertisement per page on each of the ""Co-Branded Equipment,"" ""Co-Branded Careers,"" ""Resources"" and ""Home Page"" sections or successor, replacement or substitute sections) of the PaperExchange Site and shall be consistent with the amount of advertising on other business to business vertical sites on the PaperExchange Site (the ""Third Party Advertising Allocation"").",high,Original Corporate,Exclusivity,False
Sanofi may exercise its Option at any time during the Term by providing RevMed with written notice of such exercise,medium,Original Corporate,Rofr/Rofo/Rofn,False
STATEMENT OF WORK - APPENDIX A,low,Original Corporate,Document Name,False
"Such inspections may be made no more than once each calendar year, at reasonable times and on reasonable notice.",medium,Original Corporate,Audit Rights,False
"HSNS agrees to allow E.piphany, directly or indirectly, to audit HSNS's business records as kept by HSNS in its normal course of business to ensure compliance with the terms and conditions of this Agreement.",medium,Original Corporate,Audit Rights,False
Either party may terminate this Agreement by giving the other party at least 60 days written notice.,low,Rental,Termination,True
MPM ONCOLOGY IMPACT MANAGEMENT GP LLC,low,Original Corporate,Parties,False
"Miltenyi will not in any event be liable for increased manufacturing costs, downtime costs, purchase of substitute products, lost profits, revenue, or goodwill, or any other indirect incidental, special, or consequential damages caused by a breach of the Miltenyi Product Warranty or the warranties in Section 11.2.",high,Original Corporate,Cap On Liability,False
"Upon and after the termination of this Agreement (the ""Termination Date""):",high,Original Corporate,Post-Termination Services,False
"During the term hereof and for a period of five (5) years thereafter, each Party agrees not to, either directly or indirectly, for itself or on behalf of any other person, firm, partnership, corporation or other entity hire, solicit, contract for, attempt to solicit, or cause to be solicited, the employment or services of any current or previous employee of the other Party (unless a period of sixty months has elapsed from the last date that such employee was employed by such party) without the prior written consent of such other Party.",low,Original Corporate,Competitive Restriction Exception,False
